ID article dans kezzia,Type d'article pour nom,Marque d'article pour nom,BIO (oui/non),Nom d'article au Super Cafoutch,Code barre,Nom fournisseur,Nom article chez fournisseur,Référence fournisseur,Colisage en unité de mesure,Prix HT par unité de mesure,Catégorie interne,TVA,Contrôle TVA,Poids net (kilo),Volume (litre),Lien vers photo,Pays d'origine,Produit en mercuriale (oui/non)
1 494,Pâtes italiennes hélice tricolores -,BIONATURAE,oui,Pâtes italiennes hélice tricolores - BIONATURAE,8034063240013,Bryio,Pâtes italiennes hélice tricolores 500gr,IS1,12,"1,31","Alimentaire / Épicerie / Riz, Pâtes, Féculents",A5.5-V5.5,ok,"0,5",,http://espacepro.bryio.com/images/stories/virtuemart/product/8034063240013.jpg,,non
1 715,Huile de colza -,CRUDOLIO,oui,Huile de colza - CRUDOLIO,​8052440072101,Bryio,Huile de colza 1000ml,CD5631,6,"3,27","Alimentaire / Épicerie / Huile, Vinaigre",A5.5-V5.5,ok,,1,http://espacepro.bryio.com/images/stories/virtuemart/product/8052440072101.jpg,,non
1 712,Huile de tournesol -,CRUDOLIO,oui,Huile de tournesol - CRUDOLIO,​8052440072217,Bryio,Huile de tournesol 1000ml,CD7221,6,"2,98","Alimentaire / Épicerie / Huile, Vinaigre",A5.5-V5.5,ok,,1,http://espacepro.bryio.com/images/stories/virtuemart/product/8052440072217.jpg,,non
1 508,Ketchup sans gluten -,BIONATURAE,oui,Ketchup sans gluten - BIONATURAE,8034063245537,Bryio,Ketchup sans gluten 290gr,IS553,8,"1,84","Alimentaire / Épicerie / Épices, Condiments, Graines",A5.5-V5.5,ok,"0,29",,http://espacepro.bryio.com/images/stories/virtuemart/product/8034063245537.jpg,,non
1 771,Coco cuisine -,LA MANDORLE,oui,Coco cuisine - LA MANDORLE,3760030726123,Bryio,Coco cuisine 25cl,MD2612,24,"1,27","Alimentaire / Produits Frais / Laits, Crèmes UHT, Laits Végétaux",A5.5-V5.5,ok,,"0,25",http://espacepro.bryio.com/images/stories/virtuemart/product/3760030726123.jpg,,non
1 514,Pâtes italiennes blanches lumache -,BIONATURAE,oui,Pâtes italiennes blanches lumache - BIONATURAE,8034063245841,Bryio,Pâtes italiennes blanches lumache 500gr,IS584,12,"1,14","Alimentaire / Épicerie / Riz, Pâtes, Féculents",A5.5-V5.5,ok,"0,5",,http://espacepro.bryio.com/images/stories/virtuemart/product/8034063245841.jpg,,non
1 552,Maïs doux -,BIONOVA,oui,Maïs doux - BIONOVA,8712423020450,Bryio,Maïs doux 340gr,FZ9081,6,"1,45",Alimentaire / Épicerie / Conserves de légumes,A5.5-V5.5,ok,"0,34",,http://espacepro.bryio.com/images/stories/virtuemart/product/8712423020450.jpg,,non
1 949,Maquereaux filets hyposel citron basilic -,PHARE D'EKMÜHL,non,Maquereaux filets hyposel citron basilic - PHARE D'EKMÜHL,3263670235616,Bryio,Maquereaux filets hyposel citron basilic 130gr,EK23561,13,"2,22",Alimentaire / Épicerie / Conserves de poisson,A5.5-V5.5,ok,"0,13",,http://espacepro.bryio.com/images/stories/virtuemart/product/3263670235616.jpg,,non
1 864,Mélange 5 baies graines -,MASALCHI,oui,Mélange 5 baies graines - MASALCHI,3760022906670,Bryio,Mélange 5 baies graines 30gr,MC667,3,"2,00","Alimentaire / Épicerie / Épices, Condiments, Graines",A5.5-V5.5,ok,"0,03",,http://espacepro.bryio.com/images/stories/virtuemart/product/3760022906670.jpg,,non
1 839,Muscade poudre -,MASALCHI,oui,Muscade poudre - MASALCHI,3760022906328,Bryio,Muscade poudre 32gr,MC632,3,plus chez ,"Alimentaire / Épicerie / Épices, Condiments, Graines",A5.5-V5.5,ok,"0,032",,http://espacepro.bryio.com/images/stories/virtuemart/product/3760022906328.jpg,,non
